con_level,rps,98p,longest
200,16.1,22846,24915
10,11.18,1300,1460
15,11.17,2033,2253
80,11.2,8869,8870
20,11.16,2596,2850
150,13.5,15591,15899
30,11.18,3657,3852
100,11.24,10395,12262
300,28.73,21812,24888
50,11.09,5561,6143
250,22.07,21933,24719
