con_level,rps,98p,longest
200,40.25,10781,12419
10,26.32,960,1047
15,29.25,1237,1679
80,29.69,4994,5361
20,30.03,1625,1886
150,33.41,7602,7660
30,30.81,2174,2624
100,31.72,4585,5213
300,58.27,13218,15563
50,31.68,2885,3107
250,47.51,9320,10797
