con_level,rps,98p,longest
200,11.11,21842,25125
10,10.66,1385,1507
15,10.72,2039,2169
80,10.86,8799,10217
20,10.79,2768,2873
150,11.24,15409,17396
30,10.78,3991,4154
100,10.9,12239,12339
300,12.03,33369,34768
50,10.64,6385,6445
250,12.6,26205,27194
